cod_ine,municipio,municipio_clean,por_educacion_sup
15001,Abegondo,Abegondo,"24,2"
15002,Ames,Ames,"34,42"
15003,Aranga,Aranga,"16,15"
15004,Ares,Ares,"29,5"
15005,Arteixo,Arteixo,"22,91"
15006,Arzúa,Arzúa,"19,08"
15007,"Baña, A",A Baña,"17,84"
15008,Bergondo,Bergondo,"30,72"
15009,Betanzos,Betanzos,"28,69"
15010,Boimorto,Boimorto,"13,44"
15011,Boiro,Boiro,"19,42"
15012,Boqueixón,Boqueixón,"21,79"
15013,Brión,Brión,"30,2"
15014,Cabana de Bergantiños,Cabana de Bergantiños,"14,87"
15015,Cabanas,Cabanas,"31,49"
15016,Camariñas,Camariñas,"12,16"
15017,Cambre,Cambre,"30,26"
15018,"Capela, A",A Capela,"25,3"
15019,Carballo,Carballo,"20,2"
15901,Cariño,Cariño,"14,57"
15020,Carnota,Carnota,"18,54"
15021,Carral,Carral,"24,59"
15022,Cedeira,Cedeira,"23,95"
15023,Cee,Cee,"22,09"
15024,Cerceda,Cerceda,"16,78"
15025,Cerdido,Cerdido,"13,48"
15027,Coirós,Coirós,"25,19"
15028,Corcubión,Corcubión,"30,14"
15029,Coristanco,Coristanco,"10,76"
15030,"Coruña, A",A Coruña,"35,88"
15031,Culleredo,Culleredo,"28,68"
15032,Curtis,Curtis,"19,19"
15033,Dodro,Dodro,"16,15"
15034,Dumbría,Dumbría,"14,73"
15035,Fene,Fene,"25,91"
15036,Ferrol,Ferrol,"29,74"
15037,Fisterra,Fisterra,"16,04"
15038,Frades,Frades,"19,95"
15039,Irixoa,Irixoa,"20,39"
15041,"Laracha, A",A Laracha,"15,22"
15040,Laxe,Laxe,"15,22"
15042,Lousame,Lousame,"14,05"
15043,Malpica de Bergantiños,Malpica de Bergantiños,"14,45"
15044,Mañón,Mañón,20
15045,Mazaricos,Mazaricos,"12,33"
15046,Melide,Melide,"18,13"
15047,Mesía,Mesía,"14,85"
15048,Miño,Miño,"31,42"
15049,Moeche,Moeche,"16,75"
15050,Monfero,Monfero,"16,29"
15051,Mugardos,Mugardos,"25,33"
15053,Muros,Muros,"13,53"
15052,Muxía,Muxía,"13,53"
15054,Narón,Narón,"25,35"
15055,Neda,Neda,"23,1"
15056,Negreira,Negreira,"22,82"
15057,Noia,Noia,"25,02"
15058,Oleiros,Oleiros,"38,92"
15059,Ordes,Ordes,"19,12"
15060,Oroso,Oroso,"25,4"
15061,Ortigueira,Ortigueira,"20,59"
15062,Outes,Outes,"18,08"
15902,Oza-Cesuras,Oza-Cesuras,"14,57"
15064,Paderne,Paderne,"18,08"
15065,Padrón,Padrón,"18,08"
15066,"Pino, O",O Pino,"18,08"
15067,"Pobra do Caramiñal, A",A Pobra do Caramiñal,"18,08"
15068,Ponteceso,Ponteceso,"16,5"
15069,Pontedeume,Pontedeume,"28,51"
15070,"Pontes de García Rodríguez, As",As Pontes de García Rodríguez,"26,7"
15071,Porto do Son,Porto do Son,"19,69"
15072,Rianxo,Rianxo,"18,7"
15073,Ribeira,Ribeira,"21,96"
15074,Rois,Rois,"18,42"
15075,Sada,Sada,"32,36"
15076,San Sadurniño,San Sadurniño,"21,76"
15077,Santa Comba,Santa Comba,"15,75"
15078,Santiago de Compostela,Santiago de Compostela,"40,15"
15079,Santiso,Santiso,"15,23"
15080,Sobrado,Sobrado,"15,14"
15081,"Somozas, As",As Somozas,"13,93"
15082,Teo,Teo,"34,68"
15083,Toques,Toques,"10,09"
15084,Tordoia,Tordoia,"13,26"
15085,Touro,Touro,"16,53"
15086,Trazo,Trazo,"16,93"
15088,Val do Dubra,Val do Dubra,"23,5"
15087,Valdoviño,Valdoviño,"16,93"
15089,Vedra,Vedra,"25,98"
15091,Vilarmaior,Vilarmaior,"16,5"
15090,Vilasantar,Vilasantar,"25,98"
15092,Vimianzo,Vimianzo,"14,06"
15093,Zas,Zas,"14,57"
27001,Abadín,Abadín,"11,05"
27002,Alfoz,Alfoz,"17,26"
27003,Antas de Ulla,Antas de Ulla,"14,54"
27004,Baleira,Baleira,"15,26"
27901,Baralla,Baralla,"19,79"
27005,Barreiros,Barreiros,"23,67"
27006,Becerreá,Becerreá,"18,46"
27007,Begonte,Begonte,"15,99"
27008,Bóveda,Bóveda,"18,81"
27902,Burela,Burela,"19,79"
27009,Carballedo,Carballedo,"18,56"
27010,Castro de Rei,Castro de Rei,"15,12"
27011,Castroverde,Castroverde,"17,34"
27012,Cervantes,Cervantes,"12,73"
27013,Cervo,Cervo,"26,74"
27016,Chantada,Chantada,"16,27"
27014,"Corgo, O",O Corgo,"26,74"
27015,Cospeito,Cospeito,"26,74"
27017,Folgoso do Courel,Folgoso do Courel,"17,51"
27018,"Fonsagrada, A",A Fonsagrada,"17,6"
27019,Foz,Foz,"25,61"
27020,Friol,Friol,"16,67"
27022,Guitiriz,Guitiriz,"16,59"
27023,Guntín,Guntín,"14,96"
27024,"Incio, O",O Incio,"16,83"
27026,Láncara,Láncara,"14,17"
27027,Lourenzá,Lourenzá,"16,8"
27028,Lugo,Lugo,"32,62"
27029,Meira,Meira,"20,42"
27030,Mondoñedo,Mondoñedo,"19,14"
27031,Monforte de Lemos,Monforte de Lemos,"26,31"
27032,Monterroso,Monterroso,"18,28"
27033,Muras,Muras,"13,98"
27034,Navia de Suarna,Navia de Suarna,"13,29"
27035,Negueira de Muñiz,Negueira de Muñiz,"23,42"
27037,"Nogais, As",As Nogais,"12,84"
27038,Ourol,Ourol,"17,58"
