cod_mun,prov,Municipios,Total
15001,Abegondo,15001 Abegondo,12963
15002,Ames,15002 Ames,13038
15003,Aranga,15003 Aranga,12079
15004,Ares,15004 Ares,13363
15005,Arteixo,15005 Arteixo,11970
15006,Arzúa,15006 Arzúa,11633
15007,"Baña, A","15007 Baña, A",11482
15008,Bergondo,15008 Bergondo,13569
15009,Betanzos,15009 Betanzos,12558
15010,Boimorto,15010 Boimorto,11461
15011,Boiro,15011 Boiro,11557
15012,Boqueixón,15012 Boqueixón,12773
15013,Brión,15013 Brión,12993
15014,Cabana de Bergantiños,15014 Cabana de Bergantiños,11569
15015,Cabanas,15015 Cabanas,14389
15016,Camariñas,15016 Camariñas,10175
15017,Cambre,15017 Cambre,13177
15018,"Capela, A","15018 Capela, A",13322
15019,Carballo,15019 Carballo,11561
15020,Carnota,15020 Carnota,11247
15021,Carral,15021 Carral,12245
15022,Cedeira,15022 Cedeira,11787
15023,Cee,15023 Cee,11451
15024,Cerceda,15024 Cerceda,13085
15025,Cerdido,15025 Cerdido,10982
15026,Cesuras,15026 Cesuras,
15027,Coirós,15027 Coirós,13198
15028,Corcubión,15028 Corcubión,12566
15029,Coristanco,15029 Coristanco,10999
15030,"Coruña, A","15030 Coruña, A",14961
15031,Culleredo,15031 Culleredo,13357
15032,Curtis,15032 Curtis,11769
15033,Dodro,15033 Dodro,11550
15034,Dumbría,15034 Dumbría,11625
15035,Fene,15035 Fene,13289
15036,Ferrol,15036 Ferrol,13487
15037,Fisterra,15037 Fisterra,10139
15038,Frades,15038 Frades,11700
15039,Irixoa,15039 Irixoa,12355
15040,Laxe,15040 Laxe,11459
15041,"Laracha, A","15041 Laracha, A",12133
15042,Lousame,15042 Lousame,10986
15043,Malpica de Bergantiños,15043 Malpica de Bergantiños,11474
15044,Mañón,15044 Mañón,11940
15045,Mazaricos,15045 Mazaricos,11591
15046,Melide,15046 Melide,10936
15047,Mesía,15047 Mesía,11200
15048,Miño,15048 Miño,13431
15049,Moeche,15049 Moeche,11967
15050,Monfero,15050 Monfero,10855
15051,Mugardos,15051 Mugardos,12722
15052,Muxía,15052 Muxía,10503
15053,Muros,15053 Muros,11137
15054,Narón,15054 Narón,12477
15055,Neda,15055 Neda,12930
15056,Negreira,15056 Negreira,11004
15057,Noia,15057 Noia,12022
15058,Oleiros,15058 Oleiros,16471
15059,Ordes,15059 Ordes,11600
15060,Oroso,15060 Oroso,11983
15061,Ortigueira,15061 Ortigueira,11943
15062,Outes,15062 Outes,11835
15063,Oza dos Ríos,15063 Oza dos Ríos,
15064,Paderne,15064 Paderne,12877
15065,Padrón,15065 Padrón,12318
15066,"Pino, O","15066 Pino, O",11814
15067,"Pobra do Caramiñal, A","15067 Pobra do Caramiñal, A",11953
15068,Ponteceso,15068 Ponteceso,11612
15069,Pontedeume,15069 Pontedeume,12763
15070,"Pontes de García Rodríguez, As","15070 Pontes de García Rodríguez, As",15373
15071,Porto do Son,15071 Porto do Son,11327
15072,Rianxo,15072 Rianxo,11300
15073,Ribeira,15073 Ribeira,11482
15074,Rois,15074 Rois,11165
15075,Sada,15075 Sada,13123
15076,San Sadurniño,15076 San Sadurniño,12400
15077,Santa Comba,15077 Santa Comba,11459
15078,Santiago de Compostela,15078 Santiago de Compostela,15300
15079,Santiso,15079 Santiso,10512
15080,Sobrado,15080 Sobrado,11387
15081,"Somozas, As","15081 Somozas, As",16851
15082,Teo,15082 Teo,14313
15083,Toques,15083 Toques,10877
15084,Tordoia,15084 Tordoia,11817
15085,Touro,15085 Touro,11602
15086,Trazo,15086 Trazo,11949
15087,Valdoviño,15087 Valdoviño,13073
15088,Val do Dubra,15088 Val do Dubra,11790
15089,Vedra,15089 Vedra,12443
15090,Vilasantar,15090 Vilasantar,11853
15091,Vilarmaior,15091 Vilarmaior,13147
15092,Vimianzo,15092 Vimianzo,11111
15093,Zas,15093 Zas,11262
15901,Cariño,15901 Cariño,11248
15902,Oza-Cesuras,15902 Oza-Cesuras,12476
27001,Abadín,27001 Abadín,11061
27002,Alfoz,27002 Alfoz,12302
27003,Antas de Ulla,27003 Antas de Ulla,10799
27004,Baleira,27004 Baleira,11814
27005,Barreiros,27005 Barreiros,12880
27006,Becerreá,27006 Becerreá,11318
27007,Begonte,27007 Begonte,12352
