FID,LAYER,NUMERO,AROS,INSTALADO,CreationDate,Creator,EditDate,Editor,x,y
1,BELLAVISTA_LA PALMERA,275,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-666544.800000001,4490227.2
2,BELLAVISTA_LA PALMERA,276,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-666318.5,4490144.7
3,BELLAVISTA_LA PALMERA,273,3,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-666771.800000001,4489965.7
4,BELLAVISTA_LA PALMERA,274,3,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-666772,4489958.9
5,BELLAVISTA_LA PALMERA,277,6,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-666466,4489922.4
6,BELLAVISTA_LA PALMERA,278,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-666139.300000001,4489769.6
7,BELLAVISTA_LA PALMERA,279,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-666311.300000001,4489559
8,BELLAVISTA_LA PALMERA,280,6,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-665384.300000001,4487970.9
9,BELLAVISTA_LA PALMERA,281,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-665332,4487692.3
10,BELLAVISTA_LA PALMERA,282,6,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-665300.5,4487525.1
11,BELLAVISTA_LA PALMERA,283,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-665492.600000001,4487725.5
12,BELLAVISTA_LA PALMERA,284,4,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-664383.199999999,4484210.3
13,BELLAVISTA_LA PALMERA,285,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-664785,4485841.3
14,BELLAVISTA_LA PALMERA,286,6,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-664339.600000001,4485295.5
15,CASCO_ANTIGUO,213,4,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-666332.800000001,4495012.2
16,CASCO_ANTIGUO,214,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-666193.300000001,4494883.4
17,CASCO_ANTIGUO,215,11,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-666453.800000001,4494885.4
18,CASCO_ANTIGUO,217,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-666727.300000001,4494754.9
19,CASCO_ANTIGUO,218,3,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-666888.5,4494329
20,CASCO_ANTIGUO,297,4,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-666244.5,4493356.7
21,CASCO_ANTIGUO,184,3,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-668282.899999999,4493802.4
22,CASCO_ANTIGUO,183,3,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-668272.399999999,4493763.9
23,CASCO_ANTIGUO,185,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-668153.100000001,4493454.4
24,SAN PABLO_SANTA JUSTA,550,4,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-664418.800000001,4495029.8
25,MACARENA_NORTE,343,3,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-664504.300000001,4498220.1
26,MACARENA_NORTE,344,3,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-664442.5,4498107.6
