hora_minuto,incidentes,hora,minuto
05:00:00,1,5,0
05:10:00,1,5,10
06:00:00,2,6,0
06:10:00,1,6,10
06:20:00,3,6,20
06:30:00,8,6,30
06:40:00,5,6,40
06:50:00,3,6,50
07:00:00,4,7,0
07:10:00,8,7,10
07:20:00,8,7,20
07:30:00,4,7,30
07:40:00,4,7,40
07:50:00,5,7,50
08:00:00,7,8,0
08:10:00,4,8,10
08:20:00,6,8,20
08:30:00,5,8,30
08:40:00,6,8,40
08:50:00,3,8,50
09:00:00,7,9,0
09:10:00,8,9,10
09:20:00,6,9,20
09:30:00,10,9,30
09:40:00,9,9,40
09:50:00,6,9,50
10:00:00,8,10,0
10:10:00,4,10,10
10:20:00,5,10,20
10:30:00,2,10,30
10:40:00,1,10,40
10:50:00,4,10,50
11:10:00,2,11,10
11:20:00,4,11,20
11:40:00,7,11,40
11:50:00,1,11,50
12:00:00,7,12,0
12:10:00,4,12,10
12:20:00,7,12,20
12:30:00,3,12,30
12:40:00,9,12,40
12:50:00,6,12,50
13:00:00,8,13,0
13:10:00,8,13,10
13:20:00,7,13,20
13:30:00,6,13,30
13:40:00,7,13,40
13:50:00,10,13,50
14:00:00,8,14,0
14:10:00,8,14,10
14:20:00,9,14,20
14:30:00,10,14,30
14:40:00,14,14,40
14:50:00,13,14,50
15:00:00,12,15,0
15:10:00,25,15,10
15:20:00,22,15,20
15:30:00,20,15,30
15:40:00,25,15,40
15:50:00,24,15,50
16:00:00,23,16,0
16:10:00,23,16,10
16:20:00,22,16,20
16:30:00,15,16,30
16:40:00,14,16,40
16:50:00,30,16,50
17:00:00,24,17,0
17:10:00,26,17,10
17:20:00,30,17,20
17:30:00,27,17,30
17:40:00,39,17,40
17:50:00,28,17,50
18:00:00,27,18,0
18:10:00,29,18,10
18:20:00,33,18,20
18:30:00,30,18,30
18:40:00,32,18,40
18:50:00,31,18,50
19:00:00,34,19,0
19:10:00,38,19,10
19:20:00,35,19,20
19:30:00,44,19,30
19:40:00,42,19,40
19:50:00,35,19,50
20:00:00,44,20,0
20:10:00,42,20,10
20:20:00,52,20,20
20:30:00,40,20,30
20:40:00,48,20,40
20:50:00,46,20,50
21:00:00,50,21,0
21:10:00,52,21,10
21:20:00,57,21,20
21:30:00,55,21,30
21:40:00,47,21,40
21:50:00,51,21,50
22:00:00,51,22,0
22:10:00,58,22,10
22:20:00,53,22,20
22:30:00,40,22,30
22:40:00,57,22,40
22:50:00,54,22,50
23:00:00,47,23,0
23:10:00,44,23,10
23:20:00,50,23,20
23:30:00,61,23,30
23:40:00,47,23,40
23:50:00,41,23,50
